Ingredient Name,Unit of Measurement,Purchase Unit,Conversion Factor,Cost Per Unit,Category,Description,Minimum Stock Level,Current Stock,Storage Temperature,Is Perishable,Shelf Life Days,Brand,Active,Available
Soda ,liter,bottle,300,9.17,Beverages_biscuits,,0.0,0.0,room_temperature,False,,PEPSI,True,True
Water Mineral,liter,bottle,1000,9.16,Beverages_biscuits,,120.0,0.0,room_temperature,False,,BISLERI ,True,True
 Water Mineral,liter,bottle,500,6.66,Beverages_biscuits,,0.0,0.0,room_temperature,False,,BISLERI ,True,True
 Water Mineral,liter,bottle,250,5.0,Beverages_biscuits,,0.0,0.0,room_temperature,False,,BISLERI ,True,True
Biscuit Rs 5,packet,packet,1,4.54,Beverages_biscuits,,0.0,0.0,room_temperature,False,,,True,True
Biscuit Rs 10,packet,packet,1,8.6,Beverages_biscuits,,0.0,0.0,room_temperature,False,,,True,True
Namkeen Rs 5,packet,packet,1,3.95,Beverages_biscuits,,0.0,0.0,room_temperature,False,,,True,True
Namkeen Rs 10,packet,packet,1,7.55,Beverages_biscuits,,0.0,0.0,room_temperature,False,,,True,True
Muesli ,packet,packet,1000,602.0,Beverages_biscuits,,0.0,0.0,room_temperature,False,,TATA ,True,True
Lays ,packet,packet,1,9.0,Beverages_biscuits,,0.0,0.0,room_temperature,False,,,True,True
Kurkure ,packet,packet,1,9.0,Beverages_biscuits,,0.0,0.0,room_temperature,False,,,True,True
Namkeen,packet,packet,400,90.0,Beverages_biscuits,,0.0,0.0,room_temperature,False,,,True,True
Biscuit Rs 25 ,packet,packet,1,19.0,Beverages_biscuits,,0.0,0.0,room_temperature,False,,,True,True
Jeera  Drink,liter,bottle,1,8.67,Beverages_biscuits,,0.0,0.0,room_temperature,False,,,True,True
Muesli ,packet,packet,500,313.0,Beverages_biscuits,,0.0,0.0,room_temperature,False,,BAGRRY'S,True,True
Coca Cola,can,can,300,40.0,Beverages_biscuits,,0.0,0.0,room_temperature,False,,COKE,True,True
Red Bull Energy Drink,can,can,1,92.62,Beverages_biscuits,,0.0,0.0,room_temperature,False,,,True,True
Tonic Water,can,can,1,46.62,Beverages_biscuits,,0.0,0.0,room_temperature,False,,,True,True
Khush Sharbat,liter,bottle,1000,227.0,Beverages_biscuits,,1.0,0.0,room_temperature,False,,,True,True
Rose Marry,packet,packet,250,180.0,Beverages_biscuits,,0.0,5.0,room_temperature,False,0.0,,True,True
Rose Sharbat,liter,bottle,1000,312.0,Beverages_biscuits,,0.0,45.0,room_temperature,False,0.0,,True,True
Thandai,liter,bottle,1000,345.0,Beverages_biscuits,,0.0,0.0,room_temperature,False,,,True,True
Kitchen King ,packet,packet,100,63.65,Spices,,10.0,0.0,room_temperature,False,,TATA ,True,True
Chole Masala ,packet,packet,100,62.31,Spices,,5.0,0.0,room_temperature,False,,TATA ,True,True
Chat Masala ,packet,packet,100,60.3,Spices,,7.0,0.0,room_temperature,False,,TATA ,True,True
Meat Masala ,packet,packet,100,65.0,Spices,,0.0,0.0,room_temperature,False,,TATA ,True,True
Chicken Masala ,packet,packet,100,65.0,Spices,,10.0,0.0,room_temperature,False,,TATA ,True,True
Salt ,packet,packet,1,25.0,Spices,,0.0,0.0,room_temperature,False,,TATA ,True,True
Salt ,packet,packet,1,13.7,Spices,,18.0,0.0,room_temperature,False,,NIRMA ,True,True
Salt ,packet,packet,1,6.64,Spices,,0.0,0.0,room_temperature,False,,TAPARIA ,True,True
Salt Sandha,packet,packet,1,34.0,Spices,,1.0,0.0,room_temperature,False,,,True,True
Briyani Masala ,packet,packet,50,61.0,Spices,,2.0,0.0,room_temperature,False,,CATCH ,True,True
Tea Masala ,packet,packet,50,49.0,Spices,,0.0,0.0,room_temperature,False,,CATCH ,True,True
Hing ,liter,bottle,100,188.0,Spices,,10.0,0.0,room_temperature,False,,CATCH ,True,True
Kashmiri Lal Red Chilli Powder ,kg,packet,1000,640.0,Spices,,3.0,0.0,room_temperature,False,,CATCH ,True,True
Rajma Masala ,packet,packet,100,64.0,Spices,,3.0,0.0,room_temperature,False,,CATCH ,True,True
Sambhar Masala ,packet,packet,100,88.0,Spices,,3.0,0.0,room_temperature,False,,CATCH ,True,True
Pav Bhaji Masala ,packet,packet,100,75.0,Spices,,0.0,0.0,room_temperature,False,,CATCH ,True,True
White Pepper Masala ,kg,packet,1000,1500.0,Spices,,1.0,0.0,room_temperature,False,,CATCH ,True,True
Rasam Masala ,packet,packet,100,57.0,Spices,,3.0,0.0,room_temperature,False,,FLAVARICH ,True,True
