Ingredient Name,Unit of Measurement,Purchase Unit,Conversion Factor,Cost Per Unit,Category,Description,Minimum Stock Level,Current Stock,Storage Temperature,Is Perishable,Shelf Life Days,Brand,Active,Available
Cold Drink ,liter,bottle,250,18.21,Beverages biscuits ,,,0,room_temperature,FALSE,,COCA COLA ,TRUE,TRUE
Soda ,liter,bottle,750,15,Beverages biscuits ,,,0,room_temperature,FALSE,,KINLEY ,TRUE,TRUE
Soda ,liter,bottle,300,9.17,Beverages biscuits ,,,0,room_temperature,FALSE,,PEPSI,TRUE,TRUE
Water Mineral,liter,bottle,1000,9.16,Beverages biscuits ,,,0,room_temperature,FALSE,,BISLERI ,TRUE,TRUE
 Water Mineral,liter,bottle,500,6.66,Beverages biscuits ,,,0,room_temperature,FALSE,,BISLERI ,TRUE,TRUE
 Water Mineral,liter,bottle,250,5,Beverages biscuits ,,,0,room_temperature,FALSE,,BISLERI ,TRUE,TRUE
Biscuit Rs 5,packet,packet,1,4.54,Beverages biscuits ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Biscuit Rs 10,packet,packet,1,8.6,Beverages biscuits ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Namkeen Rs 5,packet,packet,1,3.95,Beverages biscuits ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Namkeen Rs 10,packet,packet,1,7.55,Beverages biscuits ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Muesli ,packet,packet,1000,602,Beverages biscuits ,,,0,room_temperature,FALSE,,TATA ,TRUE,TRUE
Lays ,packet,packet,1,9,Beverages biscuits ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Kurkure ,packet,packet,1,9,Beverages biscuits ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Namkeen,packet,packet,400,90,Beverages biscuits ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Biscuit Rs 25 ,packet,packet,1,19,Beverages biscuits ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Jeera  Drink,liter,bottle,1,8.67,Beverages biscuits ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Muesli ,packet,packet,500,313,Beverages biscuits ,,,0,room_temperature,FALSE,,BAGRRY'S,TRUE,TRUE
Coca Cola,can,can,300,40,Beverages biscuits ,,,0,room_temperature,FALSE,,COKE,TRUE,TRUE
Red Bull Energy Drink,can,can,1,92.62,Beverages biscuits ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Tonic Water,can,can,1,46.62,Beverages biscuits ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Khush Sharbat,liter,bottle,1000,227,Beverages biscuits ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Rose Marry,packet,packet,250,180,Beverages biscuits ,,,5,room_temperature,FALSE,0,,TRUE,TRUE
Rose Sharbat,liter,bottle,1000,312,Beverages biscuits ,,,45,room_temperature,FALSE,0,,TRUE,TRUE
